Leaf#,Depth,DF#,B-L,M,S,LB - L,M,S,LL - L,M,S,RB - L,M,S,RL- L,M,S
100,3,0,16,16,79,62,15,0,78,77,31,32,32,31,31,63,46
100,3.5,0,63,31,62,16,16,32,61,31,48,63,79,46,16,63,30
100,4,0,32,16,62,80,30,0,76,94,109,77,31,63,16,63,15
100,4.5,0,78,94,95,32,62,61,48,62,15,61,32,48,77,31,77
100,5,0,62,143,78,31,30,15,63,45,125,94,61,61,109,143,79
100,5.5,1,62,92,47,95,108,31,79,47,78,62,126,157,125,64,171
100,6,1,123,221,48,32,46,45,76,31,108,156,110,126,160,154,187
100,6.5,1,95,107,188,95,111,76,31,47,47,202,265,110,218,220,329
100,7,0,141,156,111,61,32,47,110,125,140,109,189,186,250,233,268
100,7.5,0,155,155,329,111,109,47,79,78,79,281,204,173,296,376,372
100,8,0,203,110,250,109,128,96,77,126,155,93,282,156,485,385,467
100,8.5,0,327,233,330,110,126,109,92,91,108,314,378,341,516,704,534
100,9,0,247,203,282,108,62,109,127,141,93,344,406,410,596,673,653
100,9.5,0,249,292,310,139,144,157,76,158,159,405,327,438,770,829,733
100,1,1,295,437,311,127,109,170,156,142,107,469,361,470,827,919,911
100,10.5,1,283,527,466,142,171,141,127,172,219,623,500,471,1153,1098,1219
100,11,0,346,470,377,62,125,203,155,124,158,607,647,602,1236,1072,1145
100,11.5,0,330,453,564,247,187,171,187,188,142,500,592,530,1361,1313,1404
100,12,4,514,564,656,231,281,185,283,234,155,547,607,704,1660,1564,1628
100,12.5,0,550,637,515,248,155,235,143,205,187,654,660,760,1796,1780,1817
100,13,3,607,530,690,326,201,279,203,221,282,704,878,750,1910,2264,1906
100,13.5,1,668,704,705,203,266,299,252,233,215,722,874,779,2358,2235,2265
100,14,1,641,808,640,261,279,246,295,234,297,777,801,906,2494,2457,2534
100,14.5,0,624,693,771,331,204,296,229,268,189,860,873,939,2798,2869,2821
100,15,0,880,907,862,245,295,267,156,111,279,1006,1140,1008,2930,2796,2960
100,15.5,0,898,783,955,218,308,261,295,251,214,999,1020,1113,3293,3323,3238
100,16,2,938,889,1001,265,234,317,251,341,342,1081,1127,1169,3107,3078,3046
100,16.5,0,1016,1010,1136,298,250,188,202,253,235,1236,1217,1281,3983,4037,3958
100,17,0,1045,900,981,249,326,322,249,201,311,1251,1254,1253,3909,4037,3976
100,17.5,0,1124,1057,1140,220,297,217,361,297,359,1108,1362,1358,4405,4362,4317
100,18,0,1139,1129,1172,390,313,359,281,282,189,1238,1217,1357,4546,4670,4673
100,18.5,0,1154,1206,1207,205,294,249,380,438,358,1187,1311,1437,4964,4765,4809
100,19,1,1161,1177,1207,440,330,343,359,481,499,1340,1405,1435,5341,5265,5263
100,19.5,1,1482,1345,1519,360,439,249,441,343,391,1602,1769,1878,6210,6308,6168
100,2,0,1373,1374,1625,362,408,269,311,392,281,1642,1627,1717,6187,6151,6217
100,20.5,0,1397,1407,1503,282,361,310,391,358,448,1790,1685,1831,6421,6549,6361
100,21,1,1458,1469,1405,265,393,358,457,406,611,1686,1780,1751,6963,6843,6970
